hour_of_day,Payment_Mode,Price,Tea_Name,Time_of_Day,Weekday,Month_name,Weekdaysort,Mondaythsort,Date,Time
10,GPay,12,Masala Chai,Morning,Friday,March,5,3,01-03-2024,15.50.05
12,Cash,20,Tandoori Chai,Afternoon,Friday,March,5,3,01-03-2024,19.22.05
12,Paytm,20,Tandoori Chai,Afternoon,Friday,March,5,3,01-03-2024,20.18.01
13,GPay,35,Irani Chai,Afternoon,Friday,March,5,3,01-03-2024,20.18.01
13,GPay,12,Masala Chai,Afternoon,Friday,March,5,3,01-03-2024,20.18.01
15,Paytm,18,Adrak Chai,Afternoon,Friday,March,5,3,01-03-2024,20.18.01
16,Cash,20,Tandoori Chai,Afternoon,Friday,March,5,3,01-03-2024,19.02.08
18,Cash,18,Adrak Chai,Night,Friday,March,5,3,01-03-2024,19.02.08
19,Cash,18,Green Tea,Night,Friday,March,5,3,01-03-2024,22.01.08
19,GPay,18,Adrak Chai,Night,Friday,March,5,3,01-03-2024,23.15.09
19,GPay,18,Adrak Chai,Night,Friday,March,5,3,01-03-2024,23.15.09
10,Paytm,35,Irani Chai,Morning,Saturday,March,6,3,02-03-2024,22.07.00
10,Paytm,18,Adrak Chai,Morning,Saturday,March,6,3,02-03-2024,22.07.00
11,Paytm,18,Adrak Chai,Morning,Saturday,March,6,3,02-03-2024,22.07.00
14,Paytm,35,Irani Chai,Afternoon,Saturday,March,6,3,02-03-2024,22.07.00
16,Cash,18,Adrak Chai,Afternoon,Saturday,March,6,3,02-03-2024,22.07.00
17,Paytm,35,Irani Chai,Night,Saturday,March,6,3,02-03-2024,22.07.00
10,Cash,12,Masala Chai,Morning,Sunday,March,7,3,03-03-2024,22.07.00
11,Paytm,25,Rose Tea,Morning,Sunday,March,7,3,03-03-2024,22.07.00
12,Cash,35,Irani Chai,Afternoon,Sunday,March,7,3,03-03-2024,22.07.00
13,Paytm,20,Tandoori Chai,Afternoon,Sunday,March,7,3,03-03-2024,9.36.03
17,Paytm,18,Green Tea,Night,Sunday,March,7,3,03-03-2024,6.40.03
17,Paytm,25,Rose Tea,Night,Sunday,March,7,3,03-03-2024,8.45.09
18,GPay,18,Adrak Chai,Night,Sunday,March,7,3,03-03-2024,3.23.04
18,Cash,18,Adrak Chai,Night,Sunday,March,7,3,03-03-2024,4.27.09
18,GPay,20,Tandoori Chai,Night,Sunday,March,7,3,03-03-2024,8.05.00
10,Paytm,12,Masala Chai,Morning,Monday,March,1,3,04-03-2024,3.52.00
10,Cash,12,Masala Chai,Morning,Monday,March,1,3,04-03-2024,3.52.00
11,GPay,18,Adrak Chai,Morning,Monday,March,1,3,04-03-2024,5.16.02
14,GPay,30,Butter Chai,Afternoon,Monday,March,1,3,04-03-2024,4.37.07
9,Paytm,12,Masala Chai,Morning,Tuesday,March,2,3,05-03-2024,4.37.07
14,Cash,12,Masala Chai,Afternoon,Tuesday,March,2,3,05-03-2024,4.37.07
17,Cash,12,Masala Chai,Night,Tuesday,March,2,3,05-03-2024,4.37.07
17,GPay,20,Tandoori Chai,Night,Tuesday,March,2,3,05-03-2024,4.37.07
17,Paytm,18,Green Tea,Night,Tuesday,March,2,3,05-03-2024,4.37.07
17,Cash,20,Tandoori Chai,Night,Tuesday,March,2,3,05-03-2024,4.37.07
17,GPay,20,Tandoori Chai,Night,Tuesday,March,2,3,05-03-2024,4.37.07
17,GPay,25,Rose Tea,Night,Tuesday,March,2,3,05-03-2024,4.37.07
18,Cash,20,Tandoori Chai,Night,Tuesday,March,2,3,05-03-2024,1.31.02
13,Cash,35,Irani Chai,Afternoon,Wednesday,March,3,3,06-03-2024,1.31.02
13,GPay,25,Rose Tea,Afternoon,Wednesday,March,3,3,06-03-2024,1.31.02
14,Cash,15,Black Tea,Afternoon,Wednesday,March,3,3,06-03-2024,1.31.02
14,Paytm,15,Black Tea,Afternoon,Wednesday,March,3,3,06-03-2024,1.31.02
10,Paytm,20,Tandoori Chai,Morning,Thursday,March,4,3,07-03-2024,18.40.05
11,Paytm,12,Masala Chai,Morning,Thursday,March,4,3,07-03-2024,3.59.00
15,GPay,35,Irani Chai,Afternoon,Thursday,March,4,3,07-03-2024,3.59.00
15,Cash,18,Adrak Chai,Afternoon,Thursday,March,4,3,07-03-2024,3.59.00
10,Cash,25,Rose Tea,Morning,Friday,March,5,3,08-03-2024,3.59.00
12,GPay,15,Black Tea,Afternoon,Friday,March,5,3,08-03-2024,22.28.07
13,Cash,35,Irani Chai,Afternoon,Friday,March,5,3,08-03-2024,22.28.07
14,Cash,35,Irani Chai,Afternoon,Friday,March,5,3,08-03-2024,22.28.07
14,Cash,35,Irani Chai,Afternoon,Friday,March,5,3,08-03-2024,22.28.07
14,Cash,18,Adrak Chai,Afternoon,Friday,March,5,3,08-03-2024,22.28.07
18,Paytm,12,Masala Chai,Night,Friday,March,5,3,08-03-2024,22.28.07
18,GPay,12,Masala Chai,Night,Friday,March,5,3,08-03-2024,22.28.07
12,Cash,30,Butter Chai,Afternoon,Saturday,March,6,3,09-03-2024,5.15.06
12,Cash,35,Irani Chai,Afternoon,Saturday,March,6,3,09-03-2024,7.38.03
12,GPay,15,Black Tea,Afternoon,Saturday,March,6,3,09-03-2024,9.47.07
12,GPay,35,Irani Chai,Afternoon,Saturday,March,6,3,09-03-2024,13.03.05
12,GPay,35,Irani Chai,Afternoon,Saturday,March,6,3,09-03-2024,14.26.05
13,GPay,12,Masala Chai,Afternoon,Saturday,March,6,3,09-03-2024,9.22.02
13,Paytm,18,Adrak Chai,Afternoon,Saturday,March,6,3,09-03-2024,9.22.02
13,Cash,25,Rose Tea,Afternoon,Saturday,March,6,3,09-03-2024,9.22.02
13,Paytm,15,Black Tea,Afternoon,Saturday,March,6,3,09-03-2024,9.22.02
14,Cash,18,Adrak Chai,Afternoon,Saturday,March,6,3,09-03-2024,8.01.08
14,Paytm,20,Tandoori Chai,Afternoon,Saturday,March,6,3,09-03-2024,8.01.08
19,Cash,15,Black Tea,Night,Saturday,March,6,3,09-03-2024,17.57.06
19,Cash,20,Tandoori Chai,Night,Saturday,March,6,3,09-03-2024,19.10.01
11,Cash,30,Butter Chai,Morning,Sunday,March,7,3,10-03-2024,19.20.08
